[local] 5 -7 90.0 (best c=32.0, g=0.0078125, rate=90.0)
[local] -3 -9 80.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] 9 -9 70.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] 3 -9 90.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] 15 -9 70.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] -5 -9 80.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] 7 -9 70.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] 1 -7 80.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] 1 -1 80.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] 1 -13 80.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] 1 1 80.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] 1 -11 80.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] 1 -5 80.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] 1 -15 80.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] 1 3 80.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] 1 -9 80.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] 5 -3 90.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] -1 -3 80.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] 11 -3 70.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] -3 -3 80.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] 9 -3 70.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] 3 -3 90.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] 15 -3 70.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] -5 -3 80.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] 7 -3 70.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] 1 -3 80.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] 13 -7 70.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] 13 -1 70.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] 13 -13 70.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] 13 1 70.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] 13 -11 70.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] 13 -5 70.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] 13 -15 70.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] 13 3 70.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] 13 -9 70.0 (best c=8.0, g=0.0078125, rate=90.0)
[local] 13 -3 70.0 (best c=8.0, g=0.0078125, rate=90.0)
8.0 0.0078125 90.0
iter  1 act 2.260e+02 pre 2.217e+02 delta 1.859e+00 f 1.160e+03 |g| 3.706e+02 CG   3
iter  2 act 1.928e+00 pre 1.822e+00 delta 1.859e+00 f 9.340e+02 |g| 1.644e+01 CG   3
iter  3 act 2.014e-02 pre 2.014e-02 delta 1.859e+00 f 9.321e+02 |g| 2.387e+00 CG   3
Accuracy = 63.6364% (14/22) (classification)
